brand_name,cuisine_tags,restaurant_rating,delivery_time,service_fee,minimum_order_amount,new_restaurant
Curry Box,['Indian'],Very good,49,7,10,False
AMIGOVIO - Mexican Burritos,"['Mexican', 'Bowls', 'Healthy']",Very good,42,0,10,False
Beverly Hills Burger Bungalow,"['Burgers', 'American']",Good,45,5,10,False
Hari Prasad Pure Vegetarian Restaurant,"['Indian', 'Vegetarian']",Very good,47,7,10,False
Supercare Pharmacy,['Pharmacy'],Amazing,43,5,10,False
Gangnam Kitchen - Korean Fried Chicken,"['Fried', 'Chicken', 'Burgers', 'Asian']",Very good,49,7,10,False
Snickers Ice cream,"['Specialty', 'Store', 'Ice', 'Cream', 'Cakes', 'Desserts']",Very good,43,5,10,False
"Kaakunada, Dubai Media City","['Arabic', 'Breakfast', 'Lebanese']",Very good,50,7,10,False
The Masala Club,"['Indian', 'Mandi', 'Grills']",Good,49,5,10,False
"Wokman, Jumeirah Lakes Towers","['Chinese', 'Indian', 'Asian']",OK,46,5,10,False
SOUP & SOUL,['Soups'],Very good,49,7,10,False
Katsu And Co,"['Asian', 'Healthy', 'Japanese']",Very good,50,7,10,False
Potato Head,"['American', 'Burgers', 'Sandwiches']",Good,51,5,10,True
Pick & Choose,"['Lebanese', 'Sandwiches', 'Salads']",Very good,52,7,10,False
Pizza Bowl by Broccoli Pizza & Pasta,"['American', 'Healthy', 'Bowls']",Good,49,5,10,False
Aster Flowers,['Flowers'],Very good,35,9,10,False
The Selfish Bull,"['Seafood', 'Grills']",OK,49,7,10,False
Kaak Al Manara Bakery & Eatery,"['Arabic', 'Healthy', 'Lebanese']",Very good,51,7,10,False
Shamiana,['Indian'],NA,50,3,10,False
Mandi Al Sultan,"['Arabic', 'Mandi']",Good,47,5,10,False
Proper Sliders,"['Sliders', 'Burgers', 'Sandwiches']",Good,47,7,10,False
"Super Bowl Asian Cafe, Jumeirah Lakes Towers - JLT","['Asian', 'Chinese', 'Japanese']",Good,53,5,10,False
Cucina Mia Restaurant,"['Italian', 'Pizza']",Good,49,7,10,False
Chicken Street,"['American', 'Grills', 'Indian']",NA,49,5,10,False
GK Chicken Restaurant,"['American', 'Grills']",Very good,49,5,10,False
Project Pasta,"['Italian', 'Pasta', 'Healthy']",Good,45,7,10,False
"ASEER TIME, Al Barsha 1","['Specialty', 'Store', 'Desserts', 'Beverages']",Very good,49,7,10,False
Baguette,['Sandwiches'],Very good,47,7,10,False
Oregano,"['Italian', 'Pizza']",Very good,40,7,0,False
Ole Ole Burrito,"['Mexican', 'Sandwiches', 'Breakfast']",Very good,46,7,10,False
Tandoor Grill Kitchen,['Indian'],Very good,50,7,10,False
"Dumpukht Biryani Restaurant, Jumeirah Lakes Towers - JLT","['Indian', 'Pakistani']",Good,51,5,10,False
